FIPS,Dems,Repub
19155,20226,21161
19157,5441,4331
19159,1236,1401
19161,2237,2699
19163,48675,36239
19165,2847,3472
19167,3010,13440
19169,26268,18812
19171,4859,3813
19173,1344,1602
19175,2990,2774
19177,1540,1980
19179,8481,6466
19181,12261,12112
19183,5140,5228
19185,1356,1563
19187,9847,8299
19189,3236,2726
19191,6808,4260
19193,20290,20798
19195,2560,1612
19197,3087,3187
20001,2130,3481
20003,1161,2329
20005,3157,3717
20007,585,1794
20009,2967,7636
20011,2343,4159
20013,1284,2926
20015,8942,17756
20017,371,934
20019,385,1396
20021,3366,5750
20023,432,1247
20025,241,870
20027,982,2919
20029,1213,3070
20031,1105,3008
20033,194,756
20035,4859,8263
20037,7646,7453
20039,340,1189
20041,2353,5961
20043,1077,2336
20045,33141,17475
20047,326,979
20049,359,1035
20051,3917,8037
20053,838,1996
20055,3188,6776
20057,2848,5587
20059,4366,6969
20061,3368,4376
20063,257,1120
20065,323,1043
20067,616,1941
20069,416,1585
20071,150,587
20073,916,2087
20075,233,836
20077,740,1960
20079,6185,8865
20081,265,1216
20083,202,836
20085,2266,3770
20087,3450,5058
20089,312,1229
20091,124142,149816
20093,302,1138
20095,918,2468
20097,197,903
20099,3782,4955
20101,187,786
20103,12749,16387
20105,334,1175
20107,1401,3029
20109,222,1171
20111,5661,6468
20115,1607,3695
20117,1779,3150
20113,4113,8732
20119,369,1527
20121,5644,9229
20123,692,2405
20125,4203,9142
20127,897,1858
20129,225,1129
20131,1405,3761
20133,2496,4372
20135,283,1197
20137,488,1836
20139,2508,4768
20141,391,1441
20143,703,2304
20145,869,1923
20147,516,2066
20149,2552,6816
20151,1265,2765
20153,270,1243
20155,9711,15858
20157,627,1949
20159,1137,2746
20161,10033,11729
20163,467,2054
20165,498,1217
20167,719,2470
20169,7897,13754
20171,311,1788
20173,79175,104119
20175,1376,3620
20177,40072,40806
20179,252,1068
20181,677,1932
20183,437,1695
20185,535,1483
20187,187,625
20189,277,1770
20191,3304,6637
20193,761,2762
20195,415,1215
20197,1020,2375
20199,96,690
20201,640,2193
20203,163,835
20205,1218,2927
20207,507,1045
20209,38482,16211
21001,1888,5512
21003,2023,5258
21005,3461,6884
21007,1427,2537
21009,5434,11133
21011,2210,2234
21013,2718,9519
21015,16292,33812
21017,3385,4820
21019,8886,11429
21021,4764,7697
21023,1241,2066
21025,2205,2671
21027,3110,5281
21029,10056,19857
21031,1555,3696
21033,2212,3866
21035,6165,8991
21037,15619,24045
21039,879,1699
21041,1716,2032
21043,4314,5252
21045,1219,4679
21047,8822,13515
21049,5749,9664
21051,1552,5710
21053,761,3366
21055,1254,2604
21057,697,2056
21059,19282,23692
21061,1652,3562
21063,1535,902
21065,1555,3685
21067,66040,59884
21069,2279,3432
21071,7530,7741
21073,11767,11911
21075,1226,1530
21077,1278,1840
21079,2012,5117
21081,3109,5605
21083,5843,10056
21085,3154,6605
21087,1204,3785
21089,6621,8849
21091,2128,1924
21093,15650,23896
21095,2586,7165
21097,2916,4520
21099,2290,4397
21101,10049,9523
21103,2724,4081
21105,812,1406
21107,7104,11916
21109,743,4407
21111,196272,153865
21113,6236,13710
21115,2413,5964
